"","country","happiness","gdpPerPerson","lifeExpect","socialSupport","freedom","generosity","corruption"
"1","Afghanistan",3.63151884078979,1741.6875,52.0133285522461,0.525074541568756,0.445294231176376,0.179053544998169,0.879704535007477
"2","Albania",4.58603954315186,11363.095703125,68.8715515136719,0.639576375484467,0.726340234279633,0.259975373744965,0.88677841424942
"3","Algeria",5.29463768005371,13914.7236328125,65.6048583984375,0.776976704597473,0.439177334308624,0.128987744450569,0.698342978954315
"4","Angola",3.79483795166016,6260.1328125,52.4607086181641,0.765275478363037,0.374172747135162,0.106828570365906,0.833540439605713
"5","Argentina",6.38795757293701,18807.310546875,67.3984832763672,0.905564665794373,0.85338968038559,0.16317380964756,0.847881674766541
"6","Armenia",4.32056522369385,8257.7041015625,64.9624786376953,0.710184693336487,0.592957973480225,0.12258356064558,0.895624935626984
"7","Australia",7.2720513343811,44374.46484375,72.6502990722656,0.948141157627106,0.918003737926483,0.694878876209259,0.388529062271118
"8","Austria",7.13936233520508,44574.48828125,72.0495681762695,0.920177042484283,0.89337158203125,0.509860396385193,0.533494234085083
"9","Azerbaijan",5.20059490203857,16086.6533203125,62.9697494506836,0.779933214187622,0.735739469528198,0.10410862416029,0.620859324932098
"10","Bahrain",6.10506868362427,44064.6328125,65.9767913818359,0.86359828710556,0.874140799045563,0.510673224925995,NA
"11","Bangladesh",4.50039052963257,3316.3681640625,62.2035598754883,0.652717888355255,0.861735761165619,0.170758500695229,0.681194186210632
"12","Belarus",5.48332643508911,16867.72265625,66.0305099487305,0.917586326599121,0.632646799087524,0.21748723089695,0.661701798439026
"13","Belgium",6.9268856048584,42093.7890625,72.1429290771484,0.911503732204437,0.864310026168823,0.421579718589783,0.502901017665863
"14","Belize",5.95564651489258,8005.48828125,58.9239082336426,0.755414307117462,0.872770309448242,0.286091297864914,0.783099353313446
"15","Benin",4.14136409759521,2018.91076660156,51.5617980957031,0.457777112722397,0.744072258472443,0.149063423275948,0.823281526565552
"16","Bhutan",5.08212852478027,7743.33642578125,60.567943572998,0.850920915603638,0.829656422138214,0.563592195510864,0.63132780790329
"17","Bolivia",5.75188970565796,6695.91357421875,59.9957885742188,0.805337011814117,0.88369345664978,0.209027826786041,0.847298145294189
"18","Bosnia and Herzegovina",5.12935400009155,11331.572265625,67.8382720947266,0.74608314037323,0.609956622123718,0.363586843013763,0.94665253162384
"19","Botswana",3.58982872962952,15706.6357421875,57.1057052612305,0.785132467746735,0.842526435852051,0.119786821305752,0.776348769664764
"20","Brazil",6.41889047622681,14232.861328125,65.2441329956055,0.908001840114594,0.789254188537598,0.217360466718674,0.784572958946228
"21","Bulgaria",4.93312454223633,17737.591796875,66.4154891967773,0.924724042415619,0.675944566726685,0.162422731518745,0.929407775402069
"22","Burkina Faso",4.42439126968384,1643.07702636719,51.9911003112793,0.753720283508301,0.636307597160339,0.152457877993584,0.710499942302704
"23","Burundi",2.90453505516052,803.172912597656,48.5685577392578,0.561732590198517,0.428722262382507,0.0543934032320976,0.806447207927704
"24","Cambodia",4.43258810043335,3494.95483398438,58.3711280822754,0.750254333019257,0.959941327571869,0.336479425430298,0.82680344581604
"25","Cameroon",4.9753270149231,3341.21240234375,49.735164642334,0.669572830200195,0.755737602710724,0.22044625878334,0.866538763046265
"26","Canada",7.32852840423584,43035.546875,72.190803527832,0.931540191173553,0.923505961894989,0.625681042671204,0.409655749797821
"27","Central African Republic",3.0829975605011,647.880493164062,44.3124198913574,0.305565357208252,0.630962014198303,0.167455777525902,0.875871241092682
"28","Chad",4.30058717727661,1893.4619140625,45.65771484375,0.67619252204895,0.533072292804718,0.171422481536865,0.835992634296417
"29","Chile",6.47618913650513,22704.431640625,69.4377136230469,0.849452078342438,0.736905336380005,0.387090563774109,0.834768056869507
"30","China",5.24579811096191,14390.103515625,69.1553039550781,0.772204279899597,0.876166462898254,0.0917000398039818,NA
"31","Colombia",6.26008176803589,13115.001953125,63.9825706481934,0.893501877784729,0.82118684053421,0.191339626908302,0.873871207237244
"32","Congo (Brazzaville)",4.55867147445679,5356.17919921875,54.7894706726074,0.636860966682434,0.806351065635681,0.112148799002171,0.803959429264069
"33","Congo (Kinshasa)",4.24494600296021,749.390930175781,50.4256019592285,0.769605278968811,0.636904776096344,0.123985461890697,0.850198268890381
"34","Costa Rica",7.07165431976318,15382.701171875,69.6997146606445,0.901704072952271,0.90538102388382,0.274674296379089,0.760924518108368
"35","Croatia",5.3212103843689,21540.51171875,67.1917419433594,0.779965579509735,0.694128334522247,0.264014899730682,0.874756753444672
"36","Cyprus",5.76253366470337,31054.1796875,72.6089935302734,0.792133808135986,0.729775667190552,0.422272145748138,0.882088601589203
"37","Czech Republic",6.71090459823608,31521.6796875,70.8761215209961,0.914136350154877,0.830621242523193,0.206805914640427,0.884560942649841
"38","Denmark",7.55527782440186,45999.9609375,71.3122711181641,0.955462276935577,0.948895275592804,0.579054057598114,0.193662241101265
"39","Dominican Republic",5.30177211761475,14041.509765625,63.335277557373,0.894284009933472,0.860594034194946,0.230584472417831,0.751462996006012
"40","Ecuador",5.97318077087402,10432.0576171875,67.1464920043945,0.849092364311218,0.84197986125946,0.198478400707245,0.724856436252594
"41","Egypt",4.41917705535889,10306.1455078125,61.4129257202148,0.724412739276886,0.636678874492645,0.164250925183296,0.749844431877136
"42","El Salvador",6.16678094863892,7982.3203125,64.0954284667969,0.808451771736145,0.761672377586365,0.101884640753269,0.794663727283478
"43","Estonia",5.73922157287598,28311.201171875,67.1995620727539,0.931745052337646,0.839159548282623,0.232368931174278,0.625703632831573
